Freq.	V(vout)
1.17489755493953e+01	(-1.44506840495614e+00dB,-7.16197313799436e+01°)
1.20226443461741e+01	(-1.56191085204151e+00dB,-7.33581630599697e+01°)
1.23026877081238e+01	(-1.68651330835119e+00dB,-7.51202177091793e+01°)
1.25892541179416e+01	(-1.81914969472322e+00dB,-7.69038803164158e+01°)
1.28824955169313e+01	(-1.96007290521526e+00dB,-7.87069526905133e+01°)
1.31825673855640e+01	(-2.10951126095130e+00dB,-8.05270655712295e+01°)
1.34896288259165e+01	(-2.26766515801146e+00dB,-8.23616943353817e+01°)
1.38038426460288e+01	(-2.43470400764612e+00dB,-8.42081781423827e+01°)
1.41253754462275e+01	(-2.61076356381535e+00dB,-8.60637422287846e+01°)
1.44543977074592e+01	(-2.79594372497024e+00dB,-8.79255229303929e+01°)
1.47910838816820e+01	(-2.99030688421623e+00dB,-8.97905948914375e+01°)
1.51356124843620e+01	(-3.19387688502835e+00dB,-9.16559998212635e+01°)
1.54881661891248e+01	(-3.40663861936568e+00dB,-9.35187760871192e+01°)
1.58489319246111e+01	(-3.62853828250033e+00dB,-9.53759883921744e+01°)
1.62181009735892e+01	(-3.85948427547518e+00dB,-9.72247567838537e+01°)
1.65958690743755e+01	(-4.09934872325593e+00dB,-9.90622842692362e+01°)
1.69824365246174e+01	(-4.34796955571590e+00dB,-1.00885882379258e+02°)
1.73780082874937e+01	(-4.60515308078345e+00dB,-1.02692994116943e+02°)
1.77827941003892e+01	(-4.87067696530895e+00dB,-1.04481213840157e+02°)
1.81970085860998e+01	(-5.14429353004440e+00dB,-1.06248303758442e+02°)
1.86208713666286e+01	(-5.42573326078002e+00dB,-1.07992206858026e+02°)
1.90546071796324e+01	(-5.71470843798959e+00dB,-1.09711056200979e+02°)
1.94984459975804e+01	(-6.01091679184042e+00dB,-1.11403180666676e+02°)
1.99526231496887e+01	(-6.31404509742516e+00dB,-1.13067107310554e+02°)
2.04173794466952e+01	(-6.62377263572668e+00dB,-1.14701560602779e+02°)
2.08929613085403e+01	(-6.93977445823101e+00dB,-1.16305458875694e+02°)
2.13796208950222e+01	(-7.26172440637490e+00dB,-1.17877908353427e+02°)
2.18776162394954e+01	(-7.58929785035686e+00dB,-1.19418195160806e+02°)
2.23872113856833e+01	(-7.92217412458949e+00dB,-1.20925775713843e+02°)
2.29086765276776e+01	(-8.26003864871082e+00dB,-1.22400265883399e+02°)
2.34422881531991e+01	(-8.60258473325657e+00dB,-1.23841429300446e+02°)
2.39883291901948e+01	(-8.94951507761774e+00dB,-1.25249165138925e+02°)
2.45470891568502e+01	(-9.30054297470659e+00dB,-1.26623495673774e+02°)
2.51188643150957e+01	(-9.65539324186424e+00dB,-1.27964553869987e+02°)
2.57039578276885e+01	(-1.00138029010876e+01dB,-1.29272571216111e+02°)
2.63026799189537e+01	(-1.03755216338043e+01dB,-1.30547865974171e+02°)
2.69153480392690e+01	(-1.07403120363849e+01dB,-1.31790831979091e+02°)
2.75422870333815e+01	(-1.11079497025719e+01dB,-1.33001928085299e+02°)
2.81838293126444e+01	(-1.14782231582231e+01dB,-1.34181668326827e+02°)
2.88403150312659e+01	(-1.18509336724245e+01dB,-1.35330612830216e+02°)
2.95120922666637e+01	(-1.22258949672835e+01dB,-1.36449359496820e+02°)
3.01995172040200e+01	(-1.26029328467246e+01dB,-1.37538536452575e+02°)
3.09029543251358e+01	(-1.29818847624956e+01dB,-1.38598795248588e+02°)
3.16227766016837e+01	(-1.33625993334517e+01dB,-1.39630804784629e+02°)
3.23593656929627e+01	(-1.37449358320866e+01dB,-1.40635245919355e+02°)
3.31131121482590e+01	(-1.41287636502896e+01dB,-1.41612806725435e+02°)
3.38844156139201e+01	(-1.45139617544437e+01dB,-1.42564178344204e+02°)
3.46736850452530e+01	(-1.49004181382848e+01dB,-1.43490051392745e+02°)
3.54813389233574e+01	(-1.52880292804095e+01dB,-1.44391112875889e+02°)
3.63078054770100e+01	(-1.56766996119643e+01dB,-1.45268043556398e+02°)
3.71535229097171e+01	(-1.60663409988595e+01dB,-1.46121515738116e+02°)
3.80189396320559e+01	(-1.64568722418237e+01dB,-1.46952191419008e+02°)
3.89045144994279e+01	(-1.68482185967363e+01dB,-1.47760720773527e+02°)
3.98107170553495e+01	(-1.72403113169328e+01dB,-1.48547740926562e+02°)
4.07380277804111e+01	(-1.76330872185574e+01dB,-1.49313874984077e+02°)
4.16869383470333e+01	(-1.80264882695271e+01dB,-1.50059731288490e+02°)
4.26579518801591e+01	(-1.84204612022536e+01dB,-1.50785902869754e+02°)
4.36515832240164e+01	(-1.88149571499389e+01dB,-1.51492967065842e+02°)
4.46683592150961e+01	(-1.92099313059950e+01dB,-1.52181485289037e+02°)
4.57088189614873e+01	(-1.96053426059400e+01dB,-1.52852002916877e+02°)
4.67735141287196e+01	(-2.00011534309682e+01dB,-1.53505049288981e+02°)
4.78630092322636e+01	(-2.03973293322875e+01dB,-1.54141137793069e+02°)
4.89778819368444e+01	(-2.07938387752405e+01dB,-1.54760766025500e+02°)
5.01187233627270e+01	(-2.11906529021847e+01dB,-1.55364416013396e+02°)
5.12861383991362e+01	(-2.15877453130830e+01dB,-1.55952554487074e+02°)
5.24807460249770e+01	(-2.19850918627559e+01dB,-1.56525633192927e+02°)
5.37031796370250e+01	(-2.23826704737570e+01dB,-1.57084089238219e+02°)
5.49540873857622e+01	(-2.27804609638566e+01dB,-1.57628345460412e+02°)
5.62341325190346e+01	(-2.31784448871513e+01dB,-1.58158810814678e+02°)
5.75439937337154e+01	(-2.35766053878547e+01dB,-1.58675880774161e+02°)
5.88843655355586e+01	(-2.39749270658657e+01dB,-1.59179937738356e+02°)
6.02559586074355e+01	(-2.43733958532571e+01dB,-1.59671351445693e+02°)
6.16595001861479e+01	(-2.47719989008730e+01dB,-1.60150479387023e+02°)
6.30957344480190e+01	(-2.51707244742708e+01dB,-1.60617667217251e+02°)
6.45654229034652e+01	(-2.55695618582902e+01dB,-1.61073249162839e+02°)
6.60693448007593e+01	(-2.59685012695772e+01dB,-1.61517548423304e+02°)
6.76082975391978e+01	(-2.63675337764376e+01dB,-1.61950877565197e+02°)
6.91830970918933e+01	(-2.67666512254346e+01dB,-1.62373538907358e+02°)
7.07945784384134e+01	(-2.71658461741891e+01dB,-1.62785824896504e+02°)
7.24435960074986e+01	(-2.75651118298795e+01dB,-1.63188018472433e+02°)
7.41310241300914e+01	(-2.79644419929746e+01dB,-1.63580393422312e+02°)
7.58577575029180e+01	(-2.83638310057692e+01dB,-1.63963214723708e+02°)
7.76247116628688e+01	(-2.87632737053245e+01dB,-1.64336738876123e+02°)
7.94328234724277e+01	(-2.91627653804462e+01dB,-1.64701214220935e+02°)
8.12830516164095e+01	(-2.95623017323623e+01dB,-1.65056881249746e+02°)
8.31763771102667e+01	(-2.99618788387893e+01dB,-1.65403972901193e+02°)
8.51138038202372e+01	(-3.03614931211012e+01dB,-1.65742714846387e+02°)
8.70963589956076e+01	(-3.07611413143370e+01dB,-1.66073325763146e+02°)
8.91250938133741e+01	(-3.11608204398067e+01dB,-1.66396017599286e+02°)
9.12010839355905e+01	(-3.15605277800728e+01dB,-1.66710995825220e+02°)
9.33254300796986e+01	(-3.19602608561051e+01dB,-1.67018459676179e+02°)
9.54992586021431e+01	(-3.23600174064211e+01dB,-1.67318602384355e+02°)
9.77237220955805e+01	(-3.27597953680432e+01dB,-1.67611611401321e+02°)
9.99999999999995e+01	(-3.31595928591137e+01dB,-1.67897668611040e+02°)
1.02329299228075e+02	(-3.35594081630267e+01dB,-1.68176950533827e+02°)
1.04712854805089e+02	(-3.39592397139442e+01dB,-1.68449628521609e+02°)
1.07151930523760e+02	(-3.43590860835779e+01dB,-1.68715868944817e+02°)
1.09647819614318e+02	(-3.47589459691253e+01dB,-1.68975833371269e+02°)
1.12201845430196e+02	(-3.51588181822615e+01dB,-1.69229678737361e+02°)
1.14815362149688e+02	(-3.55587016390933e+01dB,-1.69477557511919e+02°)
1.17489755493952e+02	(-3.59585953509936e+01dB,-1.69719617853008e+02°)
1.20226443461741e+02	(-3.63584984162379e+01dB,-1.69956003758039e+02°)
1.23026877081237e+02	(-3.67584100123739e+01dB,-1.70186855207450e+02°)
1.25892541179416e+02	(-3.71583293892593e+01dB,-1.70412308302278e+02°)
1.28824955169313e+02	(-3.75582558627108e+01dB,-1.70632495395886e+02°)
1.31825673855640e+02	(-3.79581888087099e+01dB,-1.70847545220133e+02°)
1.34896288259165e+02	(-3.83581276581166e+01dB,-1.71057583006232e+02°)
1.38038426460288e+02	(-3.87580718918471e+01dB,-1.71262730600568e+02°)
1.41253754462275e+02	(-3.91580210364759e+01dB,-1.71463106575689e+02°)
1.44543977074592e+02	(-3.95579746602219e+01dB,-1.71658826336729e+02°)
1.47910838816820e+02	(-3.99579323692892e+01dB,-1.71850002223455e+02°)
1.51356124843620e+02	(-4.03578938045277e+01dB,-1.72036743608167e+02°)
1.54881661891247e+02	(-4.07578586383878e+01dB,-1.72219156989641e+02°)
1.58489319246110e+02	(-4.11578265721426e+01dB,-1.72397346083306e+02°)
1.62181009735892e+02	(-4.15577973333540e+01dB,-1.72571411907838e+02°)
1.65958690743755e+02	(-4.19577706735613e+01dB,-1.72741452868343e+02°)
1.69824365246173e+02	(-4.23577463661739e+01dB,-1.72907564836287e+02°)
1.73780082874936e+02	(-4.27577242045479e+01dB,-1.73069841226335e+02°)
1.77827941003891e+02	(-4.31577040002330e+01dB,-1.73228373070241e+02°)
1.81970085860997e+02	(-4.35576855813728e+01dB,-1.73383249087941e+02°)
1.86208713666286e+02	(-4.39576687912461e+01dB,-1.73534555755957e+02°)
1.90546071796323e+02	(-4.43576534869364e+01dB,-1.73682377373267e+02°)
1.94984459975803e+02	(-4.47576395381184e+01dB,-1.73826796124744e+02°)
1.99526231496887e+02	(-4.51576268259514e+01dB,-1.73967892142274e+02°)
2.04173794466952e+02	(-4.55576152420698e+01dB,-1.74105743563676e+02°)
2.08929613085403e+02	(-4.59576046876627e+01dB,-1.74240426589514e+02°)
2.13796208950222e+02	(-4.63575950726343e+01dB,-1.74372015537901e+02°)
2.18776162394954e+02	(-4.67575863148382e+01dB,-1.74500582897385e+02°)
2.23872113856832e+02	(-4.71575783393791e+01dB,-1.74626199378009e+02°)
2.29086765276776e+02	(-4.75575710779763e+01dB,-1.74748933960625e+02°)
2.34422881531991e+02	(-4.79575644683824e+01dB,-1.74868853944532e+02°)
2.39883291901947e+02	(-4.83575584538544e+01dB,-1.74986024993535e+02°)
2.45470891568501e+02	(-4.87575529826701e+01dB,-1.75100511180465e+02°)
2.51188643150956e+02	(-4.91575480076884e+01dB,-1.75212375030249e+02°)
2.57039578276885e+02	(-4.95575434859468e+01dB,-1.75321677561596e+02°)
2.63026799189536e+02	(-4.99575393782961e+01dB,-1.75428478327330e+02°)
2.69153480392690e+02	(-5.03575356490660e+01dB,-1.75532835453471e+02°)
2.75422870333815e+02	(-5.07575322657606e+01dB,-1.75634805677081e+02°)
2.81838293126443e+02	(-5.11575291987809e+01dB,-1.75734444382943e+02°)
2.88403150312659e+02	(-5.15575264211718e+01dB,-1.75831805639131e+02°)
2.95120922666637e+02	(-5.19575239083913e+01dB,-1.75926942231493e+02°)
3.01995172040200e+02	(-5.23575216381000e+01dB,-1.76019905697123e+02°)
3.09029543251357e+02	(-5.27575195899694e+01dB,-1.76110746356837e+02°)
3.16227766016836e+02	(-5.31575177455071e+01dB,-1.76199513346712e+02°)
3.23593656929626e+02	(-5.35575160878977e+01dB,-1.76286254648718e+02°)
3.31131121482589e+02	(-5.39575146018571e+01dB,-1.76371017120487e+02°)
3.38844156139200e+02	(-5.43575132735007e+01dB,-1.76453846524248e+02°)
3.46736850452529e+02	(-5.47575120902226e+01dB,-1.76534787554965e+02°)
