Freq.	V(vout)
2.39883291901949e+00	(-2.84009683862685e-02dB,-1.44073933540085e+01°)
2.45470891568503e+00	(-2.97958062412494e-02dB,-1.47480851061943e+01°)
2.51188643150958e+00	(-3.12726385475252e-02dB,-1.50970636138699e+01°)
2.57039578276886e+00	(-3.28368797277401e-02dB,-1.54545453078164e+01°)
2.63026799189538e+00	(-3.44943459851034e-02dB,-1.58207531239896e+01°)
2.69153480392691e+00	(-3.62512879018189e-02dB,-1.61959167336085e+01°)
2.75422870333816e+00	(-3.81144258117363e-02dB,-1.65802727809652e+01°)
2.81838293126445e+00	(-4.00909881841095e-02dB,-1.69740651288975e+01°)
2.88403150312660e+00	(-4.21887532743530e-02dB,-1.73775451117979e+01°)
2.95120922666638e+00	(-4.44160943172327e-02dB,-1.77909717959534e+01°)
3.01995172040201e+00	(-4.67820285606581e-02dB,-1.82146122469107e+01°)
3.09029543251359e+00	(-4.92962704602775e-02dB,-1.86487418034539e+01°)
3.16227766016837e+00	(-5.19692893790897e-02dB,-1.90936443576493e+01°)
3.23593656929628e+00	(-5.48123721627313e-02dB,-1.95496126402609e+01°)
3.31131121482591e+00	(-5.78376909863873e-02dB,-2.00169485106665e+01°)
3.38844156139202e+00	(-6.10583768975678e-02dB,-2.04959632502001e+01°)
3.46736850452531e+00	(-6.44885995078001e-02dB,-2.09869778576176e+01°)
3.54813389233575e+00	(-6.81436533150740e-02dB,-2.14903233451137e+01°)
3.63078054770101e+00	(-7.20400511686556e-02dB,-2.20063410330167e+01°)
3.71535229097172e+00	(-7.61956254185795e-02dB,-2.25353828409408e+01°)
3.80189396320560e+00	(-8.06296373209753e-02dB,-2.30778115727799e+01°)
3.89045144994280e+00	(-8.53628952990084e-02dB,-2.36340011924862e+01°)
3.98107170553496e+00	(-9.04178826872740e-02dB,-2.42043370870660e+01°)
4.07380277804112e+00	(-9.58188956113566e-02dB,-2.47892163126636e+01°)
4.16869383470335e+00	(-1.01592191675688e-01dB,-2.53890478189625e+01°)
4.26579518801592e+00	(-1.07766150150039e-01dB,-2.60042526464194e+01°)
4.36515832240165e+00	(-1.14371444354604e-01dB,-2.66352640900525e+01°)
4.46683592150962e+00	(-1.21441226946523e-01dB,-2.72825278226136e+01°)
4.57088189614874e+00	(-1.29011328802267e-01dB,-2.79465019690013e+01°)
4.67735141287197e+00	(-1.37120472171068e-01dB,-2.86276571226814e+01°)
4.78630092322637e+00	(-1.45810498737632e-01dB,-2.93264762937033e+01°)
4.89778819368445e+00	(-1.55126613177904e-01dB,-3.00434547766006e+01°)
5.01187233627271e+00	(-1.65117642714567e-01dB,-3.07790999250645e+01°)
5.12861383991364e+00	(-1.75836313074027e-01dB,-3.15339308187670e+01°)
5.24807460249771e+00	(-1.87339541109509e-01dB,-3.23084778060959e+01°)
5.37031796370252e+00	(-1.99688744181253e-01dB,-3.31032819048611e+01°)
5.49540873857623e+00	(-2.12950166165526e-01dB,-3.39188940412418e+01°)
5.62341325190348e+00	(-2.27195219696350e-01dB,-3.47558741054112e+01°)
5.75439937337156e+00	(-2.42500843915867e-01dB,-3.56147898004025e+01°)
5.88843655355588e+00	(-2.58949876618234e-01dB,-3.64962152589381e+01°)
6.02559586074356e+00	(-2.76631439205572e-01dB,-3.74007294011618e+01°)
6.16595001861481e+00	(-2.95641332328565e-01dB,-3.83289140045726e+01°)
6.30957344480192e+00	(-3.16082439448128e-01dB,-3.92813514560433e+01°)
6.45654229034654e+00	(-3.38065134825075e-01dB,-4.02586221547130e+01°)
6.60693448007594e+00	(-3.61707691612441e-01dB,-4.12613015339038e+01°)
6.76082975391980e+00	(-3.87136684791436e-01dB,-4.22899566701673e+01°)
6.91830970918935e+00	(-4.14487382652546e-01dB,-4.33451424482933e+01°)
7.07945784384136e+00	(-4.43904119385376e-01dB,-4.44273972527992e+01°)
7.24435960074988e+00	(-4.75540640113745e-01dB,-4.55372381592776e+01°)
7.41310241300916e+00	(-5.09560408408176e-01dB,-4.66751556032633e+01°)
7.58577575029182e+00	(-5.46136864959102e-01dB,-4.78416075102005e+01°)
7.76247116628690e+00	(-5.85453624726745e-01dB,-4.90370128779384e+01°)
7.94328234724279e+00	(-6.27704598550385e-01dB,-5.02617448131644e+01°)
8.12830516164097e+00	(-6.73094023956314e-01dB,-5.15161230355315e+01°)
8.31763771102669e+00	(-7.21836388823293e-01dB,-5.28004058781142e+01°)
8.51138038202374e+00	(-7.74156230734698e-01dB,-5.41147818303189e+01°)
8.70963589956078e+00	(-8.30287794367407e-01dB,-5.54593606894751e+01°)
8.91250938133743e+00	(-8.90474529250112e-01dB,-5.68341644098888e+01°)
9.12010839355907e+00	(-9.54968410789163e-01dB,-5.82391177628102e+01°)
9.33254300796988e+00	(-1.02402906872969e+00dB,-5.96740389470340e+01°)
9.54992586021433e+00	(-1.09792270931327e+00dB,-6.11386303169152e+01°)
9.77237220955808e+00	(-1.17692082041068e+00dB,-6.26324694214238e+01°)
9.99999999999997e+00	(-1.26129865293136e+00dB,-6.41550005731647e+01°)
1.02329299228075e+01	(-1.35133347687286e+00dB,-6.57055271885203e+01°)
1.04712854805090e+01	(-1.44730261646214e+00dB,-6.72832051574639e+01°)
1.07151930523760e+01	(-1.54948127587132e+00dB,-6.88870375122827e+01°)
1.09647819614318e+01	(-1.65814017480454e+00dB,-7.05158706665327e+01°)
1.12201845430196e+01	(-1.77354302160313e+00dB,-7.21683924872614e+01°)
1.14815362149688e+01	(-1.89594386007293e+00dB,-7.38431324434080e+01°)
1.17489755493953e+01	(-2.02558433458767e+00dB,-7.55384640403222e+01°)
1.20226443461741e+01	(-2.16269092569292e+00dB,-7.72526097042180e+01°)
1.23026877081238e+01	(-2.30747221491324e+00dB,-7.89836482215652e+01°)
1.25892541179416e+01	(-2.46011624223930e+00dB,-8.07295247683712e+01°)
1.28824955169313e+01	(-2.62078802236816e+00dB,-8.24880634853807e+01°)
1.31825673855640e+01	(-2.78962728580239e+00dB,-8.42569824707734e+01°)
1.34896288259165e+01	(-2.96674650812611e+00dB,-8.60339109760277e+01°)
1.38038426460288e+01	(-3.15222928508109e+00dB,-8.78164085078651e+01°)
1.41253754462275e+01	(-3.34612910256625e+00dB,-8.96019854643998e+01°)
1.44543977074592e+01	(-3.54846853968844e+00dB,-9.13881248713536e+01°)
1.47910838816820e+01	(-3.75923892999319e+00dB,-9.31723047384870e+01°)
1.51356124843620e+01	(-3.97840049165726e+00dB,-9.49520205302299e+01°)
1.54881661891248e+01	(-4.20588292249251e+00dB,-9.67248072396477e+01°)
1.58489319246111e+01	(-4.44158644090389e+00dB,-9.84882605716786e+01°)
1.62181009735892e+01	(-4.68538324025597e+00dB,-1.00240056778882e+02°)
1.65958690743755e+01	(-4.93711931214242e+00dB,-1.01977970748261e+02°)
1.69824365246174e+01	(-5.19661658439127e+00dB,-1.03699892007479e+02°)
1.73780082874937e+01	(-5.46367531266826e+00dB,-1.05403838398567e+02°)
1.77827941003892e+01	(-5.73807666045750e+00dB,-1.07087967252344e+02°)
1.81970085860998e+01	(-6.01958540099623e+00dB,-1.08750583982371e+02°)
1.86208713666286e+01	(-6.30795267623513e+00dB,-1.10390148099144e+02°)
1.90546071796324e+01	(-6.60291875175361e+00dB,-1.12005276719576e+02°)
1.94984459975804e+01	(-6.90421571233968e+00dB,-1.13594745710863e+02°)
1.99526231496887e+01	(-7.21157005014810e+00dB,-1.15157488659752e+02°)
2.04173794466952e+01	(-7.52470510545836e+00dB,-1.16692593897026e+02°)
2.08929613085403e+01	(-7.84334332857414e+00dB,-1.18199299832831e+02°)
2.13796208950222e+01	(-8.16720833989431e+00dB,-1.19676988871830e+02°)
2.18776162394954e+01	(-8.49602677327393e+00dB,-1.21125180179535e+02°)
2.23872113856833e+01	(-8.82952989519858e+00dB,-1.22543521564076e+02°)
2.29086765276776e+01	(-9.16745499881845e+00dB,-1.23931780723012e+02°)
2.34422881531991e+01	(-9.50954657741361e+00dB,-1.25289836084507e+02°)
2.39883291901948e+01	(-9.85555728634571e+00dB,-1.26617667448046e+02°)
2.45470891568502e+01	(-1.02052487060101e+01dB,-1.27915346603538e+02°)
2.51188643150957e+01	(-1.05583919207954e+01dB,-1.29183028080543e+02°)
