Freq.	V(vout)
6.16595001861481e+00	(-1.24533774440347e-01dB,-3.49657890257105e+01°)
6.30957344480192e+00	(-1.36139435024671e-01dB,-3.58491412722632e+01°)
6.45654229034654e+00	(-1.48829243812053e-01dB,-3.67568068518040e+01°)
6.60693448007594e+00	(-1.62700857577578e-01dB,-3.76894684386879e+01°)
6.76082975391980e+00	(-1.77860027588375e-01dB,-3.86478142843567e+01°)
6.91830970918935e+00	(-1.94421135127168e-01dB,-3.96325354687782e+01°)
7.07945784384136e+00	(-2.12507735832356e-01dB,-4.06443226812506e+01°)
7.24435960074988e+00	(-2.32253106974474e-01dB,-4.16838624835330e+01°)
7.41310241300916e+00	(-2.53800790385773e-01dB,-4.27518330077960e+01°)
7.58577575029182e+00	(-2.77305122184035e-01dB,-4.38488990425933e+01°)
7.76247116628690e+00	(-3.02931738687805e-01dB,-4.49757064622511e+01°)
7.94328234724279e+00	(-3.30858046022362e-01dB,-4.61328759591353e+01°)
8.12830516164097e+00	(-3.61273638889536e-01dB,-4.73209960445767e+01°)
8.31763771102669e+00	(-3.94380651860479e-01dB,-4.85406152932584e+01°)
8.51138038202374e+00	(-4.30394024408317e-01dB,-4.97922338180147e+01°)
8.70963589956078e+00	(-4.69541658806429e-01dB,-5.10762939777032e+01°)
8.91250938133743e+00	(-5.12064448082185e-01dB,-5.23931703404411e+01°)
9.12010839355907e+00	(-5.58216149564873e-01dB,-5.37431589483462e+01°)
9.33254300796988e+00	(-6.08263078354689e-01dB,-5.51264659581189e+01°)
9.54992586021433e+00	(-6.62483594448458e-01dB,-5.65431957642804e+01°)
9.77237220955808e+00	(-7.21167357485539e-01dB,-5.79933387483109e+01°)
9.99999999999997e+00	(-7.84614324338488e-01dB,-5.94767588366160e+01°)
1.02329299228075e+01	(-8.53133467279342e-01dB,-6.09931810921099e+01°)
1.04712854805090e+01	(-9.27041194402844e-01dB,-6.25421796066823e+01°)
1.07151930523760e+01	(-1.00665945954366e+00dB,-6.41231660028767e+01°)
1.09647819614318e+01	(-1.09231355618653e+00dB,-6.57353788902255e+01°)
1.12201845430196e+01	(-1.18432959885045e+00dB,-6.73778746519430e+01°)
1.14815362149688e+01	(-1.28303170602860e+00dB,-6.90495199578221e+01°)
1.17489755493953e+01	(-1.38873891074613e+00dB,-7.07489864059045e+01°)
1.20226443461741e+01	(-1.50176183776258e+00dB,-7.24747476856082e+01°)
1.23026877081238e+01	(-1.62239919984137e+00dB,-7.42250796258282e+01°)
1.25892541179416e+01	(-1.75093417862907e+00dB,-7.59980634412039e+01°)
1.28824955169313e+01	(-1.88763076770932e+00dB,-7.77915924176336e+01°)
1.31825673855640e+01	(-2.03273016542484e+00dB,-7.96033821850513e+01°)
1.34896288259165e+01	(-2.18644731219930e+00dB,-8.14309846140540e+01°)
1.38038426460288e+01	(-2.34896767052704e+00dB,-8.32718052475551e+01°)
1.41253754462275e+01	(-2.52044434488682e+00dB,-8.51231240452950e+01°)
1.44543977074592e+01	(-2.70099563319240e+00dB,-8.69821190851690e+01°)
1.47910838816820e+01	(-2.89070309095404e+00dB,-8.88458927391460e+01°)
1.51356124843620e+01	(-3.08961017439412e+00dB,-9.07114997314047e+01°)
1.54881661891248e+01	(-3.29772151000961e+00dB,-9.25759763998979e+01°)
1.58489319246111e+01	(-3.51500281650286e+00dB,-9.44363704261540e+01°)
1.62181009735892e+01	(-3.74138148186599e+00dB,-9.62897702759420e+01°)
1.65958690743755e+01	(-3.97674777509787e+00dB,-9.81333336071411e+01°)
1.69824365246174e+01	(-4.22095664996968e+00dB,-9.99643139497228e+01°)
1.73780082874937e+01	(-4.47383007873318e+00dB,-1.01780085042552e+02°)
1.77827941003892e+01	(-4.73515983775396e+00dB,-1.03578162316878e+02°)
1.81970085860998e+01	(-5.00471065550650e+00dB,-1.05356221139509e+02°)
1.86208713666286e+01	(-5.28222362657721e+00dB,-1.07112111561486e+02°)
1.90546071796324e+01	(-5.56741979331189e+00dB,-1.08843869452219e+02°)
1.94984459975804e+01	(-5.86000379919717e+00dB,-1.10549724026997e+02°)
1.99526231496887e+01	(-6.15966752439416e+00dB,-1.12228101890941e+02°)
2.04173794466952e+01	(-6.46609362326482e+00dB,-1.13877627820234e+02°)
2.08929613085403e+01	(-6.77895889536207e+00dB,-1.15497122578675e+02°)
2.13796208950222e+01	(-7.09793743429334e+00dB,-1.17085598123067e+02°)
2.18776162394954e+01	(-7.42270351226577e+00dB,-1.18642250585059e+02°)
2.23872113856833e+01	(-7.75293417124471e+00dB,-1.20166451431257e+02°)
2.29086765276776e+01	(-8.08831150391269e+00dB,-1.21657737200399e+02°)
2.34422881531991e+01	(-8.42852461857177e+00dB,-1.23115798199105e+02°)
2.39883291901948e+01	(-8.77327129151187e+00dB,-1.24540466509572e+02°)
2.45470891568502e+01	(-9.12225931804116e+00dB,-1.25931703626818e+02°)
2.51188643150957e+01	(-9.47520757932872e+00dB,-1.27289588002687e+02°)
2.57039578276885e+01	(-9.83184684652802e+00dB,-1.28614302731524e+02°)
2.63026799189537e+01	(-1.01919203464828e+01dB,-1.29906123570209e+02°)
2.69153480392690e+01	(-1.05551841148534e+01dB,-1.31165407444974e+02°)
2.75422870333815e+01	(-1.09214071629568e+01dB,-1.32392581560115e+02°)
2.81838293126444e+01	(-1.12903714841960e+01dB,-1.33588133190277e+02°)
2.88403150312659e+01	(-1.16618719248741e+01dB,-1.34752600208733e+02°)
2.95120922666637e+01	(-1.20357159426276e+01dB,-1.35886562379233e+02°)
3.01995172040200e+01	(-1.24117232738287e+01dB,-1.36990633418375e+02°)
3.09029543251358e+01	(-1.27897255292466e+01dB,-1.38065453818834e+02°)
3.16227766016837e+01	(-1.31695657351153e+01dB,-1.39111684410841e+02°)
3.23593656929627e+01	(-1.35510978346324e+01dB,-1.40130000629572e+02°)
3.31131121482590e+01	(-1.39341861628579e+01dB,-1.41121087449193e+02°)
3.38844156139201e+01	(-1.43187049060555e+01dB,-1.42085634939719e+02°)
3.46736850452530e+01	(-1.47045375547324e+01dB,-1.43024334400296e+02°)
3.54813389233574e+01	(-1.50915763580207e+01dB,-1.43937875021411e+02°)
3.63078054770100e+01	(-1.54797217855970e+01dB,-1.44826941028821e+02°)
3.71535229097171e+01	(-1.58688820020659e+01dB,-1.45692209263105e+02°)
3.80189396320559e+01	(-1.62589723576230e+01dB,-1.46534347150621e+02°)
3.89045144994279e+01	(-1.66499148978638e+01dB,-1.47354011024003e+02°)
3.98107170553495e+01	(-1.70416378947910e+01dB,-1.48151844752995e+02°)
4.07380277804111e+01	(-1.74340754003960e+01dB,-1.48928478649275e+02°)
4.16869383470333e+01	(-1.78271668236233e+01dB,-1.49684528611836e+02°)
4.26579518801591e+01	(-1.82208565310659e+01dB,-1.50420595482424e+02°)
4.36515832240164e+01	(-1.86150934713640e+01dB,-1.51137264583345e+02°)
4.46683592150961e+01	(-1.90098308229841e+01dB,-1.51835105412719e+02°)
4.57088189614873e+01	(-1.94050256648254e+01dB,-1.52514671474785e+02°)
4.67735141287196e+01	(-1.98006386689211e+01dB,-1.53176500225326e+02°)
4.78630092322636e+01	(-2.01966338143784e+01dB,-1.53821113114474e+02°)
4.89778819368444e+01	(-2.05929781216071e+01dB,-1.54449015711235e+02°)
5.01187233627270e+01	(-2.09896414058304e+01dB,-1.55060697895934e+02°)
5.12861383991362e+01	(-2.13865960488378e+01dB,-1.55656634108494e+02°)
5.24807460249770e+01	(-2.17838167879314e+01dB,-1.56237283641971e+02°)
5.37031796370250e+01	(-2.21812805210173e+01dB,-1.56803090972188e+02°)
5.49540873857622e+01	(-2.25789661268170e+01dB,-1.57354486115487e+02°)
5.62341325190346e+01	(-2.29768542991979e+01dB,-1.57891885007775e+02°)
5.75439937337154e+01	(-2.33749273946569e+01dB,-1.58415689898948e+02°)
5.88843655355586e+01	(-2.37731692920353e+01dB,-1.58926289757694e+02°)
