Freq.	V(vout)
5.49540873857622e+001	(-3.16998064235452e-002dB,1.74352760509599e+002°)
5.62341325190346e+001	(-3.31875753136941e-002dB,1.74221769837035e+002°)
5.75439937337154e+001	(-3.47449448704395e-002dB,1.74087767126444e+002°)
5.88843655355586e+001	(-3.63751459100659e-002dB,1.73950684987691e+002°)
6.02559586074355e+001	(-3.80815568080136e-002dB,1.73810454655464e+002°)
6.16595001861479e+001	(-3.98677100077428e-002dB,1.73667005970732e+002°)
6.30957344480190e+001	(-4.17372987945728e-002dB,1.73520267362691e+002°)
6.45654229034652e+001	(-4.36941843432095e-002dB,1.73370165831253e+002°)
6.60693448007593e+001	(-4.57424030476113e-002dB,1.73216626930176e+002°)
6.76082975391978e+001	(-4.78861741419706e-002dB,1.73059574750893e+002°)
6.91830970918933e+001	(-5.01299076215629e-002dB,1.72898931907142e+002°)
7.07945784384134e+001	(-5.24782124720957e-002dB,1.72734619520494e+002°)
7.24435960074986e+001	(-5.49359052163396e-002dB,1.72566557206860e+002°)
7.41310241300914e+001	(-5.75080187864665e-002dB,1.72394663064103e+002°)
7.58577575029180e+001	(-6.01998117304753e-002dB,1.72218853660855e+002°)
7.76247116628688e+001	(-6.30167777609929e-002dB,1.72039044026669e+002°)
7.94328234724277e+001	(-6.59646556541514e-002dB,1.71855147643630e+002°)
8.12830516164095e+001	(-6.90494395062473e-002dB,1.71667076439562e+002°)
8.31763771102667e+001	(-7.22773893552443e-002dB,1.71474740782980e+002°)
8.51138038202372e+001	(-7.56550421738316e-002dB,1.71278049479934e+002°)
8.70963589956076e+001	(-7.91892232399617e-002dB,1.71076909772921e+002°)
8.91250938133741e+001	(-8.28870578905225e-002dB,1.70871227342024e+002°)
9.12010839355905e+001	(-8.67559836624454e-002dB,1.70660906308471e+002°)
9.33254300796986e+001	(-9.08037628252458e-002dB,1.70445849240804e+002°)
9.54992586021431e+001	(-9.50384953074719e-002dB,1.70225957163859e+002°)
9.77237220955805e+001	(-9.94686320187882e-002dB,1.70001129570778e+002°)
9.99999999999995e+001	(-1.04102988567807e-001dB,1.69771264438275e+002°)
1.02329299228075e+002	(-1.08950759374516e-001dB,1.69536258245387e+002°)
1.04712854805089e+002	(-1.14021532174444e-001dB,1.69296005995974e+002°)
1.07151930523760e+002	(-1.19325302909912e-001dB,1.69050401245206e+002°)
1.09647819614318e+002	(-1.24872491001739e-001dB,1.68799336130335e+002°)
1.12201845430196e+002	(-1.30673954992456e-001dB,1.68542701406005e+002°)
1.14815362149688e+002	(-1.36741008549874e-001dB,1.68280386484420e+002°)
1.17489755493952e+002	(-1.43085436816832e-001dB,1.68012279480660e+002°)
1.20226443461741e+002	(-1.49719513090432e-001dB,1.67738267263472e+002°)
1.23026877081237e+002	(-1.56656015810571e-001dB,1.67458235511846e+002°)
1.25892541179416e+002	(-1.63908245834277e-001dB,1.67172068777741e+002°)
1.28824955169313e+002	(-1.71490043968600e-001dB,1.66879650555274e+002°)
1.31825673855640e+002	(-1.79415808730726e-001dB,1.66580863356750e+002°)
1.34896288259165e+002	(-1.87700514299672e-001dB,1.66275588795888e+002°)
1.38038426460288e+002	(-1.96359728619227e-001dB,1.65963707678606e+002°)
1.41253754462275e+002	(-2.05409631606754e-001dB,1.65645100101740e+002°)
1.44543977074592e+002	(-2.14867033417295e-001dB,1.65319645560070e+002°)
1.47910838816820e+002	(-2.24749392706519e-001dB,1.64987223062034e+002°)
1.51356124843620e+002	(-2.35074834830246e-001dB,1.64647711254486e+002°)
1.54881661891247e+002	(-2.45862169911853e-001dB,1.64300988556892e+002°)
1.58489319246110e+002	(-2.57130910702140e-001dB,1.63946933305302e+002°)
1.62181009735892e+002	(-2.68901290149415e-001dB,1.63585423906457e+002°)
1.65958690743755e+002	(-2.81194278590095e-001dB,1.63216339002372e+002°)
1.69824365246173e+002	(-2.94031600462707e-001dB,1.62839557645706e+002°)
1.73780082874936e+002	(-3.07435750440287e-001dB,1.62454959486206e+002°)
1.77827941003891e+002	(-3.21430008868199e-001dB,1.62062424968516e+002°)
1.81970085860997e+002	(-3.36038456386251e-001dB,1.61661835541548e+002°)
1.86208713666286e+002	(-3.51285987605706e-001dB,1.61253073879641e+002°)
1.90546071796323e+002	(-3.67198323703405e-001dB,1.60836024115635e+002°)
1.94984459975803e+002	(-3.83802023787128e-001dB,1.60410572085967e+002°)
1.99526231496887e+002	(-4.01124494877868e-001dB,1.59976605587816e+002°)
2.04173794466952e+002	(-4.19194000347149e-001dB,1.59534014648280e+002°)
